"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Gene"
"12242",1,2,4,1,0,3,1,1,0,0,"Txndc11"
"12243",9,12,17,5,7,11,3,15,2,5,"Txndc12"
"12244",5,5,10,8,7,5,8,1,8,5,"Txndc15"
"12245",5,6,6,4,5,2,3,4,7,7,"Txndc16"
"12246",4,3,20,4,11,3,2,3,3,8,"Txndc17"
"12247",3,2,3,6,5,8,11,9,4,7,"Txndc5"
"12248",3,0,0,0,0,1,1,0,0,0,"Txndc9"
"12249",12,5,3,10,16,17,8,8,11,23,"Txnip"
"12250",6,3,4,7,6,7,12,1,6,5,"Txnl1"
"12251",14,12,5,7,16,10,12,22,7,7,"Txnl4a"
"12252",0,0,2,2,1,0,2,0,1,1,"Txnl4b"
"12253",9,6,4,8,1,8,12,9,1,3,"Txnrd1"
"12254",0,1,4,0,1,4,0,2,1,0,"Txnrd2"
"12255",1,0,0,0,0,0,1,1,0,0,"Txnrd3"
"12256",1,1,1,0,0,1,3,0,4,1,"Tyk2"
